Year  Month  Day  HH:MM  Download_Time[s]  Download_Speed[Mb/s]
2023     05   29  13:51             10.18                  9.83
2023     05   29  13:54            115.16                  8.89
2023     05   29  13:51             10.18                  9.83
2023     05   29  13:54            115.16                  8.89
2023     05   29  13:51             10.18                  9.83
2023     05   29  13:54            115.16                  8.89
2023     05   29  13:57             87.10                 11.76
2023     05   29  13:57              3.04                  3.29
2023     05   29  14:13             12.68                  7.88
2023     05   29  14:20              6.73                  1.49
2023     05   30  10:41             10.41                  9.61
2023     05   30  12:29             10.53                  9.50
2023     05   30  13:59              9.97                 10.03
2023     05   30  14:00             11.05                  9.05
2023     05   30  14:37             10.37                  9.65
2023     05   30  14:57             15.10                  6.62
2023     05   30  15:10              2.73                  3.67
2023     05   30  15:41             82.89                 12.35
2023     05   30  16:17             83.02                 12.34
2023     05   30  16:23             88.96                 11.51
2023     05   30  16:34             10.21                  9.79
2023     05   30  16:48              9.91                 10.09
2023     05   30  17:32             10.04                  9.96
2023     05   30  18:04             10.72                  9.33
2023     05   30  19:24             88.82                 11.53
2023     05   30  19:52              9.68                 10.33
2023     05   30  19:54              9.56                 10.45
2023     05   30  22:10             88.54                 11.57
2023     05   31  08:31             19.57                  0.51
2023     05   31  08:44             17.66                  0.57
2023     05   31  08:45              5.76                  1.74
2023     05   31  08:50             28.62                  0.35
2023     05   31  08:52             27.98                  0.36
2023     05   31  09:05             31.91                  0.31
2023     05   31  09:17             10.06                  9.94
2023     05   31  09:21             10.23                  9.77
2023     05   31  12:08             81.16                 12.62
2023     05   31  12:13             10.36                  9.66
2023     05   31  14:53             83.55                 12.26
2023     05   31  14:55             10.48                  9.55
2023     05   31  14:58             88.78                 11.53
2023     05   31  15:07              3.27                  3.06
2023     05   31  15:09              5.56                  1.80
2023     05   31  15:13             31.82                  0.31
2023     05   31  15:15              9.84                  1.02
2023     05   31  15:22             32.12                  0.31
2023     06   01  10:00             31.65                  0.32
2023     06   01  10:20             10.11                  9.89
2023     06   02  09:24              9.66                 10.36
2023     06   02  09:30             84.59                 12.11
2023     06   02  09:35             85.13                 12.03
2023     06   02  09:41             86.13                 11.89
2023     06   02  09:46             80.44                 12.73
2023     06   02  16:27             16.40                  0.61
2023     06   02  16:29              3.21                  3.12
2023     06   02  16:31             32.33                  3.09
2023     06   02  16:32             10.58                  9.45
2023     06   02  17:10             10.03                  9.97
2023     06   02  17:12             10.63                  9.41
2023     06   02  17:14             81.19                 12.61
2023     06   02  17:18             89.36                 11.46
2023     06   02  17:19              3.01                  3.32
2023     06   02  17:21             10.47                  9.55
2023     06   02  17:31             82.50                 12.41
2023     06   05  13:04              4.64                  2.16
2023     06   05  13:17            132.73                  7.72
2023     06   05  13:20              4.41                  2.27
2023     06   05  13:22             16.34                  0.61
2023     06   05  13:23             11.29                  0.89
2023     06   05  13:26             17.48                  0.57
2023     06   05  14:26              5.21                  1.92
2023     06   05  14:39              7.79                  1.28
2023     06   05  14:52              3.36                  0.30
2023     06   05  14:55              3.50                  0.29
2023     06   05  15:00             31.53                  0.32
2023     06   05  15:35              4.22                  2.37
2023     06   05  15:43              2.75                  3.64
2023     06   05  15:43              2.09                  0.48
2023     06   05  15:56             14.30                  6.99
2023     06   05  15:56              3.70                  0.27
2023     06   05  16:14            149.03                  6.87
2023     06   05  16:14              2.07                  0.48
2023     06   05  16:23             12.53                  0.80
2023     06   05  16:23              3.42                  0.29
2023     06   05  16:30             15.66                  6.39
2023     06   05  16:30              3.78                  0.26
2023     06   05  16:32             15.60                  6.41
2023     06   05  16:32              2.10                  0.48
2023     06   06  10:20             17.43                  0.57
2023     06   06  10:21              7.05                  1.42
2023     06   06  10:23              7.23                  1.38
2023     06   06  12:27            137.79                  7.43
2023     06   06  13:02              2.04                  0.49
2023     06   06  13:03              2.13                  0.47
2023     06   06  13:07            143.16                  7.15
